Week,Owner,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards,Holds,Misses
1,Free Agent,D.Colquitt,KC,6,262,0,0,4,0,1,0,0,3,0,0,0,1,8,6,0
1,Free Agent,R.Allen,NE,6,242,0,0,0,2,1,0,0,2,0,0,0,4,10,5,0
1,Free Agent,L.Edwards,NYJ,6,297,0,0,0,1,4,0,0,2,1,1,0,4,35,2,0
1,Free Agent,C.Schmidt,BUF,6,257,0,1,2,0,2,0,0,1,0,0,0,3,27,3,1
1,Free Agent,M.Bosher,ATL,3,178,0,0,0,0,3,1,0,0,0,0,0,3,45,5,0
1,Free Agent,P.O'Donnell,CHI,5,244,0,1,1,0,3,1,0,3,0,0,0,2,24,3,0
1,Free Agent,K.Huber,CIN,5,212,0,0,1,1,2,0,0,1,1,0,0,3,23,0,0
1,Free Agent,S.Koch,BAL,6,250,0,0,2,1,1,0,0,2,1,0,0,3,14,4,0
1,Free Agent,B.Colquitt,CLE,5,242,1,0,0,0,3,1,0,3,1,0,0,3,32,2,0
1,Free Agent,J.Berry,PIT,6,275,0,0,1,2,1,0,0,0,0,0,0,3,34,2,0
1,Free Agent,K.Redfern,DET,1,50,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,Free Agent,A.Lee,ARI,4,184,0,0,0,1,1,0,0,0,0,0,0,3,48,2,1
1,Free Agent,M.Prater,DET,4,139,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
1,Free Agent,S.Lechler,HOU,5,216,0,0,3,1,2,0,0,2,0,0,0,1,7,1,0
1,Free Agent,B.Nortman,JAX,4,187,0,1,1,1,2,1,0,0,0,0,0,1,21,4,2
1,Free Agent,B.Kern,TEN,4,188,0,1,1,1,1,0,0,2,0,0,0,1,5,4,1
1,Free Agent,M.King,OAK,3,158,0,1,0,0,2,0,0,1,1,1,0,1,5,6,0
1,Free Agent,T.Way,WAS,4,162,0,0,2,1,1,0,0,2,1,0,0,0,0,2,0
1,Free Agent,D.Jones,PHI,4,170,0,0,1,0,1,0,0,1,1,1,1,2,3,4,1
1,Free Agent,R.Sanchez,IND,6,302,0,0,0,3,3,0,0,2,0,0,0,3,15,1,2
1,Free Agent,J.Hekker,LA,5,218,0,0,0,1,0,0,0,5,2,0,0,3,0,6,0
1,Free Agent,J.Ryan,SEA,6,275,0,0,1,0,3,0,0,4,2,1,0,2,0,3,0
1,Free Agent,J.Vogel,GB,5,219,0,0,4,0,1,0,0,1,0,0,0,1,7,3,0
1,Free Agent,B.Pinion,SF,4,163,0,0,1,0,0,0,0,1,0,0,0,3,7,1,0
1,Free Agent,M.Palardy,CAR,3,155,0,0,1,1,2,0,0,1,0,0,0,1,9,5,0
1,Free Agent,C.Jones,DAL,4,139,0,0,3,0,1,0,0,4,2,0,0,2,16,5,0
1,Free Agent,B.Wing,NYG,6,269,0,1,2,1,1,0,0,0,0,0,0,1,0,1,0
1,Free Agent,T.Morstead,NO,3,171,0,0,0,0,2,1,0,1,1,0,0,2,11,5,0
1,Free Agent,R.Quigley,MIN,2,87,0,0,1,0,1,0,0,1,0,0,0,1,0,5,1
1,Free Agent,R.Dixon,DEN,3,144,0,0,2,0,2,0,0,2,0,0,0,1,-3,4,1
1,Free Agent,D.Kaser,LAC,5,230,0,0,0,1,2,1,0,2,0,0,0,3,48,3,0
2,O'Leary,S.Lechler,HOU,9,440,0,0,3,0,6,0,0,2,0,0,0,6,98,3,0
2,Free Agent,K.Huber,CIN,7,334,0,0,2,1,3,1,0,6,1,1,0,3,15,3,0
2,Taylor,B.Colquitt,CLE,4,209,0,0,1,0,2,1,0,0,0,0,0,3,19,2,0
2,Free Agent,S.Koch,BAL,5,235,0,1,1,1,2,1,0,4,1,0,0,1,0,4,1
2,Zack,C.Schmidt,BUF,6,297,0,0,1,0,3,0,0,2,0,0,0,5,30,1,0
2,Fed,M.Palardy,CAR,6,249,0,0,1,2,1,0,0,2,1,1,0,2,2,3,0
2,Bandit,R.Sanchez,IND,7,303,0,0,4,2,1,0,0,3,0,0,0,1,6,3,0
2,Free Agent,A.Lee,ARI,5,232,0,0,0,0,1,0,0,1,0,0,0,4,23,4,1
2,Free Agent,B.Kern,TEN,3,125,0,0,0,2,0,0,0,0,0,0,0,1,4,7,0
2,Gillen,B.Nortman,JAX,5,246,0,0,2,1,3,0,0,1,0,0,0,2,55,2,0
2,Julian,D.Colquitt,KC,5,227,0,2,2,0,2,1,0,2,1,0,0,1,10,5,0
2,Free Agent,D.Jones,PHI,4,169,0,1,1,1,0,0,0,1,0,0,0,1,8,4,1
2,Free Agent,T.Morstead,NO,3,121,0,0,2,0,1,0,0,2,0,0,0,1,0,4,1
2,Stearns,R.Allen,NE,3,111,0,0,0,1,1,0,0,1,1,0,0,1,16,6,1
2,Pacillo,J.Berry,PIT,5,193,0,0,2,1,0,0,0,2,2,1,1,1,12,6,0
2,Free Agent,R.Quigley,MIN,6,264,0,0,3,1,2,0,0,3,0,0,0,2,-1,1,1
2,Free Agent,B.Anger,TB,3,146,0,0,1,0,2,0,0,1,0,0,0,2,10,5,0
2,Free Agent,P.O'Donnell,CHI,3,168,0,1,0,0,3,1,0,1,1,0,0,1,17,1,0
2,Free Agent,D.Kaser,LAC,4,170,0,0,0,0,1,0,0,3,0,0,0,3,21,3,2
2,Free Agent,M.Haack,MIA,3,130,0,1,0,1,2,0,0,0,0,0,0,1,23,5,0
2,Looney,M.King,OAK,3,166,0,0,1,0,2,1,0,2,0,0,0,2,11,7,0
2,Levine,L.Edwards,NYJ,3,119,0,0,1,1,1,0,0,2,0,0,0,1,13,4,0
2,Free Agent,C.Jones,DAL,5,249,0,1,0,2,3,1,0,2,1,0,0,3,22,3,0
2,Free Agent,R.Dixon,DEN,3,129,0,0,0,1,0,0,0,1,0,0,0,1,19,5,1
2,Ralph,J.Hekker,LA,4,182,0,0,0,1,1,0,0,1,1,0,0,2,13,4,0
2,Free Agent,T.Way,WAS,4,204,0,0,0,0,2,1,0,2,2,0,0,4,24,5,1
2,Free Agent,B.Pinion,SF,7,307,0,0,2,1,1,0,0,4,1,1,0,3,0,3,0
2,Bagley,J.Ryan,SEA,7,309,0,0,3,1,2,0,0,3,1,0,0,3,40,2,1
2,Kane,M.Bosher,ATL,4,165,0,0,3,0,1,0,0,3,0,0,0,0,0,5,0
2,Free Agent,J.Vogel,GB,3,119,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0
2,Free Agent,J.Locke,DET,5,209,0,0,3,0,1,0,0,3,1,0,0,2,9,3,0
2,Hardardt,B.Wing,NYG,5,239,0,0,1,1,2,1,0,0,0,0,0,3,101,2,0
3,Free Agent,B.Pinion,SF,2,83,0,0,1,0,1,0,0,2,0,0,0,1,0,5,1
3,Free Agent,J.Hekker,LA,2,113,0,0,0,0,1,1,0,0,0,0,0,2,9,7,0
